iter	Passed	Remaining
878	1137	156
879	1138	155
880	1139	153
881	1140	152
882	1141	151
883	1142	149
884	1143	148
885	1144	147
886	1145	145
887	1146	144
888	1147	143
889	1149	142
890	1150	140
891	1151	139
892	1153	138
893	1154	136
894	1155	135
895	1156	134
896	1157	132
897	1158	131
898	1159	130
899	1160	128
900	1161	127
901	1163	126
902	1164	125
903	1166	123
904	1167	122
905	1168	121
906	1169	119
907	1170	118
908	1171	117
909	1172	115
910	1173	114
911	1174	113
912	1175	112
913	1176	110
914	1178	109
915	1180	108
916	1181	106
917	1182	105
918	1183	104
919	1184	102
920	1185	101
921	1186	100
922	1187	99
923	1188	97
924	1189	96
925	1190	95
926	1191	93
927	1193	92
928	1194	91
929	1195	90
930	1196	88
931	1198	87
932	1199	86
933	1200	84
934	1201	83
935	1202	82
936	1203	80
937	1204	79
938	1205	78
939	1206	77
940	1207	75
941	1209	74
942	1210	73
943	1211	71
944	1212	70
945	1213	69
946	1214	67
947	1215	66
948	1216	65
949	1217	64
950	1218	62
951	1219	61
952	1220	60
953	1221	58
954	1223	57
955	1224	56
956	1226	55
957	1227	53
958	1228	52
959	1229	51
960	1230	49
961	1231	48
962	1232	47
963	1233	46
964	1234	44
965	1235	43
966	1236	42
967	1238	40
968	1239	39
969	1241	38
970	1242	37
971	1243	35
972	1245	34
973	1245	33
974	1246	31
975	1247	30
976	1249	29
977	1250	28
978	1251	26
979	1252	25
980	1253	24
981	1255	23
982	1256	21
983	1257	20
984	1258	19
985	1259	17
986	1260	16
987	1261	15
988	1262	14
989	1263	12
990	1264	11
991	1265	10
992	1266	8
993	1267	7
994	1269	6
995	1270	5
996	1271	3
997	1273	2
998	1274	1
999	1275	0
